applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Foreign_worker,Savings_account_balance,Has_been_employed_for_at_least (year),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
1388041,67,female,separated,1,own,4,qualified employee,1,Low,4,9,education,1199000,4,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,0
1781381,52,male,single,1,own,2,employee,1,High,7,9,education,936000,4,car or other,0,0,2,critical/pending loans at other banks,0
1291905,33,female,separated,1,own,2,employee,1,Low,1,18,new vehicle,1042000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1462188,32,male,single,1,rent,3,employee,1,Medium,4,39,education,11760000,2,car or other,0,0,1,delay in paying off loans in the past,0
1412269,29,male,single,1,own,2,employee,1,Low,7,28,electronic equipment,2743000,4,car or other,0,0,2,critical/pending loans at other banks,0
1377901,36,male,single,1,own,4,employee,1,Low,4,12,business,1542000,2,car or other,0,0,1,existing loans paid back duly till now,0
1471101,36,male,single,1,own,4,employee,1,Low,1,36,new vehicle,3079000,4,real estate,0,0,1,existing loans paid back duly till now,0
1762049,42,male,single,1,free,4,qualified employee,1,Low,7,48,new vehicle,7763000,4,car or other,0,0,1,existing loans paid back duly till now,1
1331656,25,male,single,1,own,1,unemployed,1,Low,1,18,FF&E,2473000,4,car or other,0,0,1,existing loans paid back duly till now,1
1222155,31,male,separated,2,own,2,employee,1,Medium,7,6,business,1449000,1,car or other,0,0,2,delay in paying off loans in the past,0
1411456,30,male,single,1,own,2,employee,1,Medium,4,48,business,3566000,4,car or other,0,0,1,all loans at this bank paid back duly,0
1893558,30,female,separated,1,own,2,employee,1,Medium,1,18,education,1864000,4,real estate,0,0,2,critical/pending loans at other banks,1
1743709,41,female,separated,1,own,1,unskilled - resident,1,Low,4,42,business,5954000,2,real estate,0,0,2,critical/pending loans at other banks,0
1443796,23,male,single,1,own,1,employee,1,Low,0,15,electronic equipment,1444000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1216325,30,male,single,2,own,2,qualified employee,1,Low,1,24,electronic equipment,1823000,4,car or other,0,0,1,existing loans paid back duly till now,1
1114064,40,male,separated,1,own,4,qualified employee,1,Low,1,30,used vehicle,3857000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1574283,24,male,single,1,own,3,employee,1,Low,1,9,electronic equipment,458000,4,real estate,0,0,1,existing loans paid back duly till now,0
1764990,74,male,single,1,own,2,qualified employee,1,Low,1,24,business,4526000,3,real estate,0,0,1,critical/pending loans at other banks,0
1359864,37,female,separated,1,own,3,employee,0,Low,4,6,new vehicle,609000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1849511,32,male,single,1,free,2,qualified employee,1,Low,1,18,electronic equipment,1505000,4,car or other,0,0,1,existing loans paid back duly till now,0
1617889,36,male,single,2,rent,4,qualified employee,1,Low,4,20,used vehicle,7057000,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
1785759,22,male,single,1,free,1,employee,1,Low,0,24,FF&E,3149000,4,car or other,0,0,1,existing loans paid back duly till now,0
1372040,41,male,single,2,own,4,qualified employee,1,Low,7,24,used vehicle,6313000,3,car or other,0,0,1,existing loans paid back duly till now,0
1572898,24,female,separated,1,free,4,employee,1,Low,0,24,education,5743000,2,car or other,0,0,2,critical/pending loans at other banks,0
1586917,34,male,single,1,own,2,employee,1,Very high,7,24,electronic equipment,2578000,2,car or other,0,0,1,critical/pending loans at other banks,0
1444375,35,male,single,1,own,2,unskilled - resident,1,Low,1,24,electronic equipment,2684000,4,real estate,0,0,2,critical/pending loans at other banks,0
1225433,56,male,single,1,free,4,employee,1,Low,7,42,used vehicle,4796000,4,car or other,0,0,1,critical/pending loans at other banks,0
1838488,49,female,separated,1,own,4,employee,1,Low,1,12,electronic equipment,1092000,4,real estate,0,1,2,existing loans paid back duly till now,0
1237671,41,male,single,1,own,1,employee,1,Low,7,18,FF&E,6361000,2,car or other,0,0,1,critical/pending loans at other banks,0
1584434,37,male,single,1,own,4,unskilled - resident,1,Low,7,9,electronic equipment,1154000,2,real estate,0,0,3,critical/pending loans at other banks,0
1625109,26,male,single,1,own,2,employee,1,Low,4,12,new vehicle,759000,4,real estate,0,0,1,existing loans paid back duly till now,1
1671068,64,male,single,1,rent,4,unskilled - resident,1,Low,7,24,electronic equipment,2384000,4,real estate,0,0,1,existing loans paid back duly till now,0
1276035,22,female,separated,1,rent,4,employee,1,Low,1,18,electronic equipment,433000,3,real estate,1,0,1,existing loans paid back duly till now,1
1646022,47,male,single,1,own,3,employee,1,High,7,15,electronic equipment,1213000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1862524,37,male,single,2,own,2,employee,1,Low,1,36,FF&E,3620000,1,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
1515190,51,male,single,1,free,4,unskilled - resident,1,High,7,9,new vehicle,2507000,2,car or other,0,0,1,existing loans paid back duly till now,0
1505411,27,male,married,1,own,3,unskilled - resident,1,Low,1,12,new vehicle,1168000,4,real estate,0,0,1,existing loans paid back duly till now,0
1409197,23,male,married,1,own,2,employee,1,Low,1,12,new vehicle,900000,4,car or other,0,0,1,existing loans paid back duly till now,1
1405004,35,male,married,1,own,1,employee,1,High,7,12,electronic equipment,1680000,3,real estate,0,0,1,existing loans paid back duly till now,0
1300945,42,male,single,1,own,3,employee,1,Low,1,18,FF&E,4153000,2,car or other,1,0,1,existing loans paid back duly till now,1
1691240,39,male,single,2,own,2,unskilled - resident,1,Low,1,54,used vehicle,9436000,2,building society savings agreement/life insurance,0,0,1,no loans taken/all loans paid back duly,0
1754537,46,male,single,1,free,4,employee,1,High,7,10,education,727000,4,car or other,0,0,1,existing loans paid back duly till now,0
1738676,37,male,single,1,own,2,qualified employee,1,Low,1,24,business,4712000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
1295527,40,male,single,2,rent,4,employee,1,Low,0,28,used vehicle,7824000,3,real estate,0,1,2,all loans at this bank paid back duly,0
1724729,25,male,single,1,own,2,employee,1,Low,4,24,electronic equipment,5152000,4,car or other,0,0,1,existing loans paid back duly till now,0
1296225,29,male,single,1,rent,4,employee,1,Low,7,45,business,11816000,2,car or other,0,0,2,no loans taken/all loans paid back duly,1
1740408,25,male,single,1,own,3,employee,1,Low,0,30,business,8072000,2,car or other,0,0,3,no loans taken/all loans paid back duly,0
1719636,23,female,separated,1,rent,4,employee,1,Low,0,15,education,392000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1710864,45,male,single,2,own,2,employee,1,Low,7,36,new vehicle,10875000,2,car or other,0,0,2,delay in paying off loans in the past,0
1873969,57,male,single,1,rent,4,unskilled - resident,1,Low,7,12,business,1264000,4,car or other,0,0,1,critical/pending loans at other banks,0
1771414,48,male,single,2,rent,3,unskilled - resident,0,Low,0,10,new vehicle,2241000,1,real estate,0,0,2,critical/pending loans at other banks,0
1347244,45,male,single,1,own,2,unskilled - resident,0,Low,7,10,new vehicle,1287000,4,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,0
1159806,25,female,separated,1,own,1,employee,1,Low,1,18,electronic equipment,2238000,2,car or other,0,0,2,critical/pending loans at other banks,0
1391686,23,female,separated,1,rent,4,employee,1,Low,1,15,new vehicle,2511000,1,car or other,0,0,1,existing loans paid back duly till now,0
1611295,40,male,single,1,own,3,employee,1,Low,4,24,FF&E,1585000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1831874,31,male,single,1,own,2,employee,1,Low,7,36,electronic equipment,4473000,4,car or other,0,0,1,existing loans paid back duly till now,0
1773509,29,male,single,1,own,2,employee,1,Low,1,15,new vehicle,3556000,3,car or other,0,0,1,existing loans paid back duly till now,0
1437656,43,male,single,2,own,4,employee,1,Low,4,24,used vehicle,2197000,4,car or other,0,0,2,critical/pending loans at other banks,0
1504772,32,male,single,1,own,2,employee,1,Low,4,12,new vehicle,6078000,2,car or other,0,0,1,existing loans paid back duly till now,0
1238277,52,male,single,1,own,4,unskilled - resident,1,Low,7,10,electronic equipment,2315000,3,real estate,0,0,1,existing loans paid back duly till now,0
1566750,33,male,married,1,own,3,employee,1,Medium,0,24,new vehicle,1474000,4,real estate,0,0,1,existing loans paid back duly till now,0
1764381,35,male,single,1,own,3,employee,1,Low,4,24,used vehicle,2346000,4,car or other,0,0,2,critical/pending loans at other banks,0
1538199,26,female,separated,1,own,1,employee,1,Low,0,18,electronic equipment,1453000,3,real estate,0,0,1,existing loans paid back duly till now,0
1774498,23,female,separated,1,own,4,employee,1,Low,0,21,FF&E,2288000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
1358207,39,male,single,1,free,4,employee,1,Low,1,15,electronic equipment,1271000,3,car or other,0,0,2,critical/pending loans at other banks,1
1860196,26,female,separated,1,own,2,employee,1,Low,1,18,electronic equipment,2404000,2,car or other,0,0,2,critical/pending loans at other banks,0
1621121,50,female,separated,1,free,4,employee,1,Medium,1,36,electronic equipment,2671000,4,car or other,1,0,1,existing loans paid back duly till now,1
1112826,26,male,married,1,own,3,employee,1,Medium,4,24,electronic equipment,1311000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1193039,32,male,single,1,own,3,employee,0,Low,4,18,new vehicle,2662000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1463336,30,female,separated,1,own,2,employee,1,Low,1,36,used vehicle,8133000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1704941,42,female,separated,1,own,1,employee,1,Low,1,36,electronic equipment,3804000,4,car or other,0,0,1,no loans taken/all loans paid back duly,1
1796884,31,male,separated,1,rent,4,employee,1,Low,1,36,electronic equipment,2302000,4,car or other,0,0,1,existing loans paid back duly till now,1
1867397,42,female,separated,1,free,4,qualified employee,1,Low,7,27,business,8318000,2,car or other,0,0,2,no loans taken/all loans paid back duly,1
1500594,28,female,separated,1,own,2,qualified employee,1,Low,1,36,FF&E,3349000,4,car or other,0,0,1,existing loans paid back duly till now,1
1855489,30,male,single,2,free,4,employee,1,High,0,24,FF&E,3349000,4,car or other,0,0,1,all loans at this bank paid back duly,1
1397210,34,male,single,2,own,2,qualified employee,1,Medium,1,15,new vehicle,6850000,1,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,1
1121764,28,male,married,1,own,4,employee,1,Low,1,18,business,1887000,4,real estate,0,0,2,critical/pending loans at other banks,0
1552427,36,male,single,1,free,4,qualified employee,1,Low,7,18,new vehicle,5302000,2,car or other,0,0,3,critical/pending loans at other banks,0
1199661,50,female,separated,1,own,4,unskilled - resident,1,Low,1,6,education,1047000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
1853070,54,female,separated,1,rent,2,qualified employee,1,Low,7,15,electronic equipment,3568000,4,car or other,0,0,1,existing loans paid back duly till now,0
1282922,33,male,single,1,own,2,employee,1,Low,4,15,used vehicle,3029000,2,car or other,0,0,1,existing loans paid back duly till now,0
1199639,34,male,married,1,own,1,employee,1,Low,4,48,electronic equipment,6999000,1,real estate,0,1,2,existing loans paid back duly till now,1
1324619,37,male,single,1,own,2,employee,1,Low,7,36,business,7409000,3,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,0
1830977,58,female,separated,1,own,3,unskilled - resident,1,Low,4,12,electronic equipment,385000,4,real estate,0,0,4,critical/pending loans at other banks,0
1875015,35,male,single,1,own,4,employee,1,Medium,7,9,electronic equipment,2753000,3,car or other,1,0,1,existing loans paid back duly till now,0
1649832,48,male,single,1,own,4,employee,1,Low,1,12,new vehicle,1082000,4,car or other,0,0,2,no loans taken/all loans paid back duly,1
1577050,38,female,separated,1,own,2,employee,1,Low,7,12,electronic equipment,1240000,4,real estate,0,0,2,critical/pending loans at other banks,0
1432788,25,female,separated,1,own,4,unskilled - resident,1,Low,0,24,new vehicle,1355000,3,car or other,0,0,1,existing loans paid back duly till now,1
1623240,43,male,single,2,own,4,employee,1,Low,7,18,new vehicle,2899000,4,car or other,0,0,1,delay in paying off loans in the past,0
1198484,21,female,separated,1,rent,2,employee,1,Low,0,18,electronic equipment,1126000,4,real estate,0,0,1,existing loans paid back duly till now,0
1476817,48,male,single,1,own,2,qualified employee,1,Low,1,48,business,12204000,2,car or other,0,0,1,no loans taken/all loans paid back duly,0
1770970,41,male,single,2,own,2,unskilled - resident,1,High,0,21,business,2580000,4,real estate,0,0,1,delay in paying off loans in the past,1
1124574,27,male,married,1,own,2,unemployed,0,Very high,0,6,new vehicle,709000,2,real estate,0,0,1,existing loans paid back duly till now,0
1609685,30,male,single,1,own,3,qualified employee,1,Low,1,36,FF&E,3959000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1729265,43,male,single,1,own,4,employee,1,Low,7,12,FF&E,1935000,4,real estate,0,0,3,critical/pending loans at other banks,0
1429938,39,male,single,2,own,3,employee,1,Low,7,30,electronic equipment,2522000,1,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
1560648,25,female,separated,1,rent,4,employee,1,Low,4,22,new vehicle,1283000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1609859,48,female,separated,1,rent,4,unskilled - resident,1,Low,7,18,electronic equipment,1795000,3,real estate,0,1,2,critical/pending loans at other banks,0
1206049,27,female,separated,1,rent,3,employee,0,Low,0,10,FF&E,2132000,2,real estate,1,0,2,critical/pending loans at other banks,0
1635930,27,female,separated,1,own,4,unskilled - resident,1,Low,7,15,FF&E,3643000,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
1441977,43,male,married,2,own,1,unskilled - resident,1,Low,0,18,FF&E,1533000,4,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,1
1403127,32,female,separated,1,own,1,unskilled - resident,1,Medium,0,6,new vehicle,931000,1,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,1
1232889,38,male,single,2,free,4,qualified employee,1,Low,7,30,used vehicle,10623000,3,car or other,0,0,3,critical/pending loans at other banks,0
1361963,52,male,single,1,own,1,qualified employee,1,Low,1,12,electronic equipment,6468000,2,car or other,0,0,1,existing loans paid back duly till now,1
1493373,52,female,separated,1,own,4,unskilled - resident,1,Medium,1,6,new vehicle,362000,4,car or other,0,0,2,critical/pending loans at other banks,0
1688183,26,male,married,1,own,2,employee,0,Low,1,12,business,1076000,2,real estate,0,0,1,existing loans paid back duly till now,0
1578742,39,male,married,1,own,4,unskilled - resident,1,Low,7,6,electronic equipment,426000,4,car or other,0,0,1,no loans taken/all loans paid back duly,0
1616296,58,female,separated,1,own,4,unskilled - resident,1,Low,7,24,electronic equipment,1755000,4,real estate,0,1,1,existing loans paid back duly till now,0
1127014,49,male,single,1,rent,4,employee,1,Low,7,12,FF&E,5801000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
1215142,32,male,single,1,own,3,qualified employee,1,High,7,18,electronic equipment,629000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1178282,46,male,single,1,free,4,employee,1,Low,7,48,used vehicle,6331000,4,car or other,0,0,2,critical/pending loans at other banks,1
1775311,31,male,separated,1,own,4,employee,1,Low,7,24,business,1935000,4,real estate,0,0,2,critical/pending loans at other banks,1
1825343,20,female,separated,1,rent,4,unskilled - resident,1,Low,1,24,new vehicle,2718000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1566487,28,female,separated,1,own,2,unskilled - resident,1,Low,1,9,electronic equipment,745000,3,real estate,0,0,1,existing loans paid back duly till now,1
1631343,23,female,separated,1,own,1,employee,1,Low,1,12,electronic equipment,1498000,4,car or other,0,0,1,existing loans paid back duly till now,0
1186232,47,male,single,2,own,3,unskilled - resident,1,Low,4,12,new vehicle,958000,2,real estate,0,0,2,critical/pending loans at other banks,0
1441925,31,male,single,2,own,3,unskilled - resident,1,Medium,4,36,business,9857000,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
1847764,26,male,married,1,own,1,employee,0,Low,1,10,FF&E,2069000,2,car or other,0,0,2,critical/pending loans at other banks,0
1373246,26,female,separated,1,rent,4,qualified employee,1,Low,4,30,electronic equipment,4530000,4,car or other,0,0,1,critical/pending loans at other banks,0
1740610,28,female,separated,1,rent,4,employee,1,High,0,24,used vehicle,4113000,3,car or other,0,0,1,existing loans paid back duly till now,1
1636229,29,male,single,2,own,2,unskilled - resident,1,Low,1,12,FF&E,3590000,2,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,0
1711334,34,male,married,1,own,3,employee,1,Low,1,18,electronic equipment,2320000,2,real estate,0,0,2,delay in paying off loans in the past,0
1607876,35,female,separated,1,free,4,employee,1,High,7,15,new vehicle,5324000,1,car or other,0,0,1,existing loans paid back duly till now,0
1685016,24,male,single,1,own,1,employee,1,Low,4,9,FF&E,2030000,2,car or other,0,0,1,existing loans paid back duly till now,0
1151072,57,male,single,1,free,4,employee,1,Low,7,36,new vehicle,2225000,4,car or other,0,0,2,delay in paying off loans in the past,1
1849580,27,female,separated,1,rent,4,employee,1,Medium,0,12,FF&E,951000,4,car or other,0,0,4,existing loans paid back duly till now,1
1626519,29,male,single,1,own,1,employee,1,Medium,0,24,electronic equipment,2896000,2,car or other,0,0,1,existing loans paid back duly till now,0
1708241,58,male,single,1,own,4,employee,1,Low,7,30,electronic equipment,1867000,4,car or other,0,0,1,existing loans paid back duly till now,0
1188917,26,male,separated,1,own,1,employee,1,High,1,12,electronic equipment,1158000,3,car or other,0,0,1,existing loans paid back duly till now,0
1121429,46,male,single,1,own,4,employee,1,Low,7,15,electronic equipment,1829000,4,car or other,0,0,2,critical/pending loans at other banks,0
1510937,36,male,single,1,own,4,unskilled - resident,1,Low,1,24,business,4241000,1,real estate,0,0,3,no loans taken/all loans paid back duly,1
1241829,55,male,single,1,own,2,employee,0,Very high,4,12,used vehicle,1413000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1656780,39,male,single,1,rent,2,qualified employee,1,Low,7,24,FF&E,3345000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1502591,65,male,single,1,free,4,employee,1,Low,1,18,electronic equipment,2600000,4,car or other,0,0,2,existing loans paid back duly till now,1
1546660,29,male,single,2,own,2,unskilled - resident,0,Low,0,4,new vehicle,1494000,1,real estate,0,0,1,existing loans paid back duly till now,0
1715169,61,male,separated,1,own,4,unskilled - resident,1,Very high,4,12,electronic equipment,3059000,2,real estate,0,0,1,existing loans paid back duly till now,0
1163715,38,male,single,1,own,4,unskilled - resident,0,Low,1,12,new vehicle,2171000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1532989,34,female,separated,2,own,3,employee,1,Low,0,12,electronic equipment,1493000,4,car or other,0,0,1,existing loans paid back duly till now,0
1325093,50,male,single,1,own,4,employee,1,Very high,1,24,FF&E,3777000,4,real estate,0,0,1,critical/pending loans at other banks,0
1437216,20,female,separated,1,rent,4,employee,1,Low,0,12,used vehicle,4675000,1,car or other,0,0,1,existing loans paid back duly till now,0
1113231,22,female,separated,1,own,1,employee,1,Low,4,18,FF&E,1808000,4,real estate,0,0,1,delay in paying off loans in the past,1
1810247,23,male,single,1,own,2,unemployed,1,Low,1,6,new vehicle,14555000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1474361,22,male,single,1,own,4,employee,1,High,1,24,FF&E,2828000,4,real estate,0,0,1,all loans at this bank paid back duly,0
1291883,25,female,separated,1,rent,4,employee,1,Low,1,24,new vehicle,1371000,4,real estate,0,0,1,existing loans paid back duly till now,1
1125378,34,male,single,1,own,2,qualified employee,1,Low,1,12,used vehicle,1860000,4,car or other,0,0,2,critical/pending loans at other banks,0
1597065,42,male,single,1,own,4,employee,1,Low,7,12,FF&E,3331000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
1448565,38,male,single,1,own,4,employee,0,Low,1,10,electronic equipment,1924000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1324304,44,male,single,2,own,2,employee,1,High,1,24,business,2375000,4,car or other,0,0,2,delay in paying off loans in the past,0
1406906,40,male,married,2,own,3,unemployed,1,Low,1,18,business,3590000,3,car or other,0,0,3,critical/pending loans at other banks,0
1420837,46,female,separated,1,rent,1,employee,1,Low,0,15,FF&E,1845000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
1366939,26,female,separated,1,rent,1,unemployed,1,Low,0,15,new vehicle,1778000,2,real estate,0,0,2,no loans taken/all loans paid back duly,1
1690613,28,male,separated,1,own,2,employee,1,Very high,7,11,business,2142000,1,real estate,0,0,1,existing loans paid back duly till now,0
1148952,29,male,separated,1,free,1,employee,1,Low,1,12,electronic equipment,2149000,4,car or other,0,0,1,all loans at this bank paid back duly,1
1817517,29,male,single,1,own,3,employee,1,Low,1,36,education,6887000,4,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,1
1654707,22,male,single,1,free,4,employee,1,Low,1,14,new vehicle,3973000,1,car or other,0,0,1,existing loans paid back duly till now,0
1395426,32,male,single,1,own,2,employee,1,Very high,4,21,FF&E,2745000,3,car or other,0,0,2,critical/pending loans at other banks,0
1862061,35,male,single,1,free,1,employee,1,Low,4,48,used vehicle,8858000,2,car or other,0,0,2,critical/pending loans at other banks,0
1625627,31,male,single,1,own,2,employee,1,Low,1,15,electronic equipment,1360000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1888210,33,female,separated,1,own,1,qualified employee,1,Low,0,12,FF&E,1474000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1629275,41,male,single,1,own,2,employee,1,Medium,7,30,business,2503000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
1847834,37,male,single,2,own,3,employee,1,Low,7,15,electronic equipment,802000,4,car or other,0,0,1,existing loans paid back duly till now,1
1300113,28,male,married,1,own,2,employee,1,Low,1,24,electronic equipment,1413000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1774377,35,male,single,2,own,2,employee,1,Low,7,36,used vehicle,5842000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1675569,22,female,separated,1,rent,4,unskilled - resident,1,Low,0,12,FF&E,1258000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1436931,54,male,single,1,own,1,employee,1,Low,0,24,new vehicle,2255000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1447929,21,male,single,1,own,1,unskilled - resident,1,Low,1,12,FF&E,1289000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
1746834,23,female,separated,1,rent,4,unskilled - resident,1,Medium,4,12,business,841000,2,real estate,0,0,1,existing loans paid back duly till now,0
1465874,20,female,separated,1,own,4,employee,1,Low,7,24,electronic equipment,1967000,4,car or other,0,0,1,existing loans paid back duly till now,0
